0_0	0.0 
0_1	85.0015 
0_2	70.8513 
0_3	60.5548 
0_4	62.2643 
0_5	32.4814 
0_6	35.9283 
0_7	31.3858 
0_8	49.4821 
0_9	50.5342 
0_10	81.7702 
0_11	46.9506 
0_12	97.5904 
0_13	22.8293 
0_14	40.0553 
0_15	71.2453 
0_16	60.2091 
0_17	85.8946 
0_18	75.5897 
0_19	56.3893 
0_20	46.3224 
0_21	65.0155 
0_22	53.9692 
0_23	56.9001 
0_24	96.1729 
0_25	90.6675 
0_26	89.9638 
0_27	56.2224 
0_28	30.0264 
0_29	27.9429 
0_30	120.3185 
0_31	75.548 
0_32	24.1928 
0_33	44.5649 
0_34	107.3994 
0_35	92.391 
0_36	113.8228 
0_37	72.6118 
0_38	93.6527 
0_39	93.3036 
0_40	103.1294 
0_41	110.1681 
0_42	62.7306 
0_43	95.9634 
0_44	110.1155 
0_45	73.0729 
0_46	103.9062 
0_47	115.1082 
0_48	83.5856 
0_49	82.218 
0_50	117.111 
0_51	130.2401 
0_52	125.1835 
0_53	75.8164 
0_54	107.1027 
0_55	74.5315 
0_56	106.5142 
0_57	73.4233 
0_58	101.1835 
0_59	124.9632 
0_60	104.2811 
0_61	91.3165 
0_62	113.8018 
0_63	110.419 
0_64	126.9059 
0_65	110.4836 
0_66	101.8811 
0_67	101.5112 
1_0	85.0015 
1_1	0.0 
1_2	35.3072 
1_3	100.2931 
1_4	72.3035 
1_5	86.885 
1_6	94.861 
1_7	89.0666 
1_8	68.4208 
1_9	115.5415 
1_10	50.7728 
1_11	94.5552 
1_12	49.9302 
1_13	84.2565 
1_14	74.2816 
1_15	56.7989 
1_16	44.5247 
1_17	60.0313 
1_18	49.178 
1_19	104.5087 
1_20	59.9096 
1_21	39.633 
1_22	47.5958 
1_23	78.8331 
1_24	34.0255 
1_25	38.1315 
1_26	16.2169 
1_27	86.0003 
1_28	68.6083 
1_29	75.6603 
1_30	60.4011 
1_31	71.6688 
1_32	62.0832 
1_33	48.3035 
1_34	87.1987 
1_35	10.3639 
1_36	44.2266 
1_37	101.4003 
1_38	74.2892 
1_39	90.5481 
1_40	95.6076 
1_41	94.0567 
1_42	68.4578 
1_43	117.6659 
1_44	56.1332 
1_45	95.1094 
1_46	50.0198 
1_47	90.0601 
1_48	77.2535 
1_49	56.91 
1_50	54.1872 
1_51	66.7811 
1_52	58.4319 
1_53	104.4124 
1_54	65.5752 
1_55	40.0269 
1_56	54.5772 
1_57	79.2705 
1_58	33.8285 
1_59	46.5429 
1_60	22.9406 
1_61	87.839 
1_62	75.7701 
1_63	78.1101 
1_64	61.8736 
1_65	74.1817 
1_66	67.6285 
1_67	56.2198 
2_0	70.8513 
2_1	35.3072 
2_2	0.0 
2_3	98.2124 
2_4	82.5261 
2_5	85.6139 
2_6	80.3303 
2_7	84.2215 
2_8	70.3333 
2_9	109.46 
2_10	64.6247 
2_11	94.9579 
2_12	73.8736 
2_13	74.0404 
2_14	78.0471 
2_15	50.4905 
2_16	34.123 
2_17	64.9385 
2_18	48.3018 
2_19	102.9124 
2_20	35.2388 
2_21	42.1255 
2_22	21.5068 
2_23	74.1002 
2_24	60.4544 
2_25	42.089 
2_26	27.5663 
2_27	73.6912 
2_28	57.8215 
2_29	54.118 
2_30	82.7606 
2_31	82.4984 
2_32	50.5984 
2_33	44.8756 
2_34	109.4633 
2_35	45.2549 
2_36	71.1995 
2_37	103.4997 
2_38	99.3111 
2_39	110.7638 
2_40	109.043 
2_41	119.2149 
2_42	76.2586 
2_43	127.2263 
2_44	88.216 
2_45	104.399 
2_46	78.2434 
2_47	116.6786 
2_48	97.551 
2_49	59.6636 
2_50	87.71 
2_51	101.504 
2_52	93.6181 
2_53	109.7967 
2_54	84.7021 
2_55	50.108 
2_56	76.262 
2_57	81.9742 
2_58	64.584 
2_59	80.9746 
2_60	49.9963 
